geometry,geometry_index,beta,mode_index,eigenvalue,dominant_q,q_contrast,mean_abs_xyz,field_anisotropy,boundary_ratio,score_q,score_iso,criterion
tet_1.10,1.1,1.0,18,8.077901586616747,Z1,0.1494334792927514,0.00012853192975909315,0.8987738379721364,2.4756160402716367,1.9206973464112822e-05,0.0001155211358115452,score_iso
tet_1.10,1.1,5.0,5,7.077036269812598,X1+Y1+Z2,0.20031973898592018,0.00017866340124780765,0.26657912317305216,0.3135155600422473,3.578980590429755e-05,4.762793284775576e-05,score_q
tet_1.10,1.1,5.0,11,9.602079783789925,X1+Y1+Z2,0.10618005615939204,0.0002577161152344896,0.8432691682447705,0.4273175083726662,2.7364311588778455e-05,0.00021732405413706147,score_iso
tet_1.20,1.2,0.0,16,4.564543747479474,Z1,0.41495568418199535,0.00021123997096642564,0.9713285736957128,3.4780021899913818,8.7655226678958e-05,0.000205183419706342,score_q
tet_1.20,1.2,0.0,16,4.564543747479474,Z1,0.41495568418199535,0.00021123997096642564,0.9713285736957128,3.4780021899913818,8.7655226678958e-05,0.000205183419706342,score_iso
tet_1.20,1.2,1.0,17,8.974663909086198,X1+Y1+Z2,0.1274200676669257,0.00014934914478778735,0.43351227528232444,2.1892536422896107,1.9030078134857348e-05,6.4744687568423e-05,score_q
tet_1.20,1.2,1.0,14,7.480471301911258,Z1,0.14939303382480967,0.0001273758961992611,0.7555487494197993,2.3759838677500493,1.9029071569361657e-05,9.623869907957789e-05,score_iso
tet_1.20,1.2,5.0,15,10.777531627580634,X1+Y1+Z2,0.14871980119024344,0.00019590667945857768,0.5269189202660821,0.46161331358568786,2.913520242092042e-05,0.0001032269360132272,score_q
tet_1.20,1.2,5.0,11,9.189820457820858,X1+Y2+Z2,0.10701604615513324,0.00026628044503599534,0.7210656243238412,0.4029031669515117,2.8496280396181496e-05,0.00019200567534511027,score_iso
tet_1.35,1.35,0.0,14,4.009824977199968,Z1,0.4149556841819937,0.00021123997096642583,0.7674694903274778,3.366666568947535,8.765522667895771e-05,0.00016212023285439405,score_q
tet_1.35,1.35,0.0,14,4.009824977199968,Z1,0.4149556841819937,0.00021123997096642583,0.7674694903274778,3.366666568947535,8.765522667895771e-05,0.00016212023285439405,score_iso
tet_1.35,1.35,1.0,17,6.809029159147135,Z1,0.14932131432801488,0.00012561900522695626,0.5982374128515359,2.253582255431337,1.875759496506688e-05,7.514998869195788e-05,score_q
tet_1.35,1.35,1.0,17,6.809029159147135,Z1,0.14932131432801488,0.00012561900522695626,0.5982374128515359,2.253582255431337,1.875759496506688e-05,7.514998869195788e-05,score_iso
tet_1.35,1.35,5.0,16,11.806998273499032,X1+Y1+Z1,0.20521106135250733,0.000529240808387073,0.15448937958918305,0.4550888552691724,0.00010860606800017022,8.176208414099661e-05,score_q
tet_1.35,1.35,5.0,10,8.72128987199612,X1+Y2+Z2,0.10794384819783276,0.00027722683107204277,0.5824853442599041,0.3771629315193946,2.992493096960681e-05,0.0001614805661350811,score_iso
tet_1.50,1.5,0.0,12,3.6130379038705898,Z1,0.41495568418199824,0.00021123997096642583,0.6216502871652452,3.2775980721106164,8.765522667895867e-05,0.00013131738861205667,score_q
tet_1.50,1.5,0.0,12,3.6130379038705898,Z1,0.41495568418199824,0.00021123997096642583,0.6216502871652452,3.2775980721106164,8.765522667895867e-05,0.00013131738861205667,score_iso
tet_1.50,1.5,1.0,15,6.318362540536051,Z1,0.14923647142353505,0.00012384531093825518,0.48630426753397915,2.155334289504187,1.8482237206775733e-05,6.022650322334608e-05,score_q
tet_1.50,1.5,1.0,15,6.318362540536051,Z1,0.14923647142353505,0.00012384531093825518,0.48630426753397915,2.155334289504187,1.8482237206775733e-05,6.022650322334608e-05,score_iso
tet_1.50,1.5,5.0,18,10.475480148325046,X1+Y1+Z2,0.2007997564583719,0.0005179206654246183,0.13421821375444792,0.3930307151106446,0.00010399834348202127,6.951438657980734e-05,score_q
tet_1.50,1.5,5.0,8,7.162527742744575,X1+Y1+Z1,0.11017112837532228,0.00015208829593314335,0.9613826944573933,0.32041187433246543,1.675573917563434e-05,0.00014621505573963876,score_iso
ortho_1.05_1.20,1.2,0.0,17,4.475223622370192,Z1,0.4149557061182623,0.00021123999137234213,0.9070294645373975,3.4190502307942623,8.765523978032587e-05,0.00019160089626333996,score_q
ortho_1.05_1.20,1.2,0.0,17,4.475223622370192,Z1,0.4149557061182623,0.00021123999137234213,0.9070294645373975,3.4190502307942623,8.765523978032587e-05,0.00019160089626333996,score_iso
ortho_1.05_1.20,1.2,1.0,18,7.333889631640977,Z1,0.14450765208826552,0.00012598415708384243,0.7555487094377437,2.3220497130998554,1.8205674740505293e-05,9.518716729429911e-05,score_q
ortho_1.05_1.20,1.2,1.0,18,7.333889631640977,Z1,0.14450765208826552,0.00012598415708384243,0.7555487094377437,2.3220497130998554,1.8205674740505293e-05,9.518716729429911e-05,score_iso
ortho_1.05_1.20,1.2,5.0,11,8.909438826994423,X1+Y2+Z2,0.10760881636755638,0.00027173872340570203,0.7210656243238466,0.38494893370328026,2.9241482386918388e-05,0.0001959414522454976,score_q
