geometry,geometry_index,beta,mode_index,eigenvalue,dominant_q,q_contrast,mean_abs_xyz,field_anisotropy,boundary_ratio,score_q,score_iso
tet_1.05,1.05,1.0,18,8.438732152512975,Z1,0.14945148710278178,0.00012910386870679287,0.9865219726778307,2.532314012267358,1.9294765168952486e-05,0.00012736380323696497
tet_1.05,1.05,5.0,2,4.798696930565605,X1+Y2+Z2,0.11607586827138895,7.999901955724609e-05,0.4238039818819859,0.2150143690580557,9.285955655967165e-06,3.390390303501576e-05
tet_1.05,1.05,5.0,3,5.008585266316974,X1+Y2+Z1,0.2192216509347238,9.078488606944154e-05,0.2519717957469547,0.22818837432951772,1.9902012604063782e-05,2.2875230769599878e-05
tet_1.05,1.05,5.0,4,5.008585266316984,X1+Y1+Z2,0.21578030850168173,9.980887645496548e-05,0.2519717957469547,0.22818837432951777,2.1536790152658688e-05,2.51490218318436e-05
tet_1.05,1.05,5.0,5,7.3237404445428655,X1+Y2+Z2,0.1846902797751929,0.00016150953766454356,0.32508469949990637,0.3288163173878583,2.9829241697626606e-05,5.250427951804695e-05
tet_1.05,1.05,5.0,6,7.323740444542905,X1+Y1+Z2,0.1833279564384472,0.00016776349778350848,0.32508469949990626,0.3288163173878591,3.0755739213616574e-05,5.453734626400504e-05
tet_1.05,1.05,5.0,7,7.533628780294326,X1+Y2+Z1,0.11014031038248744,0.00014111842370895535,0.5043055548270983,0.34199032265932094,1.5542826987991716e-05,7.116680496487026e-05
tet_1.05,1.05,5.0,8,8.566983277384537,X1+Y1+Z1,0.11683634326556722,7.133325898929509e-05,0.3852107049526862,0.36917244587705267,8.334317133524889e-06,2.7478334981838902e-05
tet_1.05,1.05,5.0,9,9.121339950054056,X1+Y2+Z1,0.14526462259006276,6.274027307092812e-05,0.47772604301498683,0.40070046927610997,9.11394208884585e-06,2.9972662391854227e-05
tet_1.05,1.05,5.0,10,9.121339950054063,X1+Y1+Z2,0.1392494293979003,9.035478876886985e-05,0.4777260430149882,0.4007004692761093,1.2581852779432938e-05,4.3164835706007294e-05
tet_1.05,1.05,5.0,11,9.848783958520212,X1+Y1+Z1,0.10567284228575033,0.00025297870539947516,0.9165518990165187,0.44261826571766183,2.6732978837332034e-05,0.00023186811284462938
tet_1.05,1.05,5.0,12,11.09202679136181,X1+Y1+Z1,0.21051528650474885,0.00016041655111134078,0.24000232703331978,0.4829743942104248,3.377013621730759e-05,3.850034556138127e-05
tet_1.05,1.05,5.0,13,11.092026791361823,X1+Y2+Z1,0.21404417569716716,0.00014475730111298806,0.24000232703571975,0.4829743942067198,3.098445719287615e-05,3.474208912252752e-05
tet_1.05,1.05,5.0,14,11.436495128279955,X1+Y2+Z2,0.1442113626764017,0.00011196806083662888,0.4756739319509326,0.5013284123354792,1.6147066629484495e-05,5.3260287751080486e-05
tet_1.05,1.05,5.0,15,11.436495128280026,X1+Y1+Z2,0.13563792916945183,0.0001653697536309687,0.47567393205079456,0.501328412276647,2.243041092976703e-05,7.866208095191404e-05
tet_1.05,1.05,5.0,16,11.646383464031352,X1+Y1+Z1,0.1893753786611049,0.00015858849405764718,0.3250207659806223,0.5145024176052322,3.0032756113461318e-05,5.154455381432985e-05
tet_1.05,1.05,5.0,17,11.646383464031398,X1+Y2+Z1,0.2005026123923632,0.00013893257131125387,0.3250207678463661,0.5145024175422688,2.7856343494294693e-05,4.515597100645375e-05
tet_1.05,1.05,5.0,18,13.61707030533912,X1+Y2+Z1,0.10636314840897476,0.00022557520843268248,0.833087036082147,0.5967763425366585,2.3992889371910824e-05,0.00018792378180679597
tet_1.10,1.1,0.0,2,0.7939966775524449,X1+Y2+Z1,4.631306682917714e-21,5.661944678535412e-18,0.5144914480059681,2.37544618177735,2.6222202228011443e-38,2.9130221161893697e-18
tet_1.10,1.1,0.0,3,0.9607359798384629,X1+Z1,1.5477022047798722e-21,4.2902532494336706e-18,0.5060267341672732,2.4311726181575546,6.640034413212503e-39,2.170982840561452e-18
tet_1.10,1.1,0.0,4,0.9607359798384945,Y1+Z2,9.504907730794859e-22,3.4097154433768663e-18,0.506026734167272,2.4311726181575644,3.2409030677563395e-39,1.7254071702517074e-18
tet_1.10,1.1,0.0,5,1.754732657390932,X1+Y1,1.879553753511419e-21,3.899112257346018e-18,0.36612389168538106,2.9884369819597105,7.328591078657091e-39,1.427558153777695e-18
tet_1.10,1.1,0.0,6,1.7547326573909396,X1+Y1+Z1,1.0322293237768904e-21,2.608108559367908e-18,0.36612389168538106,2.988436981959712,2.6921661345730555e-39,9.548908556937312e-19
tet_1.10,1.1,0.0,7,1.9214719596769603,X1+Z2,1.2914876793398666e-21,3.6767504228964445e-18,0.7532669290255384,3.0441634183399247,4.748477871178402e-39,2.7695744998485545e-18
tet_1.10,1.1,0.0,8,2.7154686372294194,Z1,0.1513992143994068,0.00011271220073669453,0.8264462809917337,3.601427782142075,1.7064538644763793e-05,9.315057912123494e-05
tet_1.10,1.1,0.0,9,3.145473863169982,Y1+Z2,1.3609403396080116e-21,4.3849954531635955e-18,0.7196259518932022,2.3431133704787785,5.96771720120805e-39,3.155556527030216e-18
tet_1.10,1.1,0.0,10,3.8060233744356795,X1+Y1+Z1,2.0488724998461676e-16,1.1254816643665394e-15,0.8725216305192104,2.3956065257288977,2.305968431201697e-31,9.820070969125677e-16
tet_1.10,1.1,0.0,11,3.806023374435687,Y1,5.444645917931041e-21,4.774505122538018e-18,0.8725216305191354,2.3956065257291437,2.5995489825567463e-38,4.165858994438836e-18
tet_1.10,1.1,0.0,12,4.106209843008429,X1+Y1+Z1,2.3721562989545026e-14,1.2016857175614934e-14,0.4556636884445946,2.956104170661284,2.850586344277158e-28,5.475645464152594e-15
tet_1.10,1.1,0.0,13,4.106209843008455,X1+Y1+Z2,7.455468043953748e-21,8.470329472543003e-18,0.45566368844459715,2.9561041706611566,6.315027070430397e-38,3.859621569799924e-18
tet_1.10,1.1,0.0,14,4.600020051988114,X1+Y1+Z1,9.372774354313492e-10,2.3558858927070454e-12,0.5262150269109015,2.9528708900067304,2.2081186876853542e-21,1.239702558429851e-12
tet_1.10,1.1,0.0,15,4.600020051988125,X1+Y1+Z1,3.283587664051269e-12,1.394378881584269e-13,0.5262150269394938,2.9528708895359825,4.578565294583711e-25,7.337431207367274e-14
tet_1.10,1.1,0.0,16,4.766759354274123,X1+Y1+Z1,1.255936539714727e-07,2.7151203210963566e-11,0.5449164981021624,3.008597312079906,3.4100188209868962e-18,1.4795138572978454e-11
tet_1.10,1.1,0.0,17,4.766759354274162,X1+Y1+Z1,1.569394779559851e-13,3.03497953443891e-14,0.5449164998248899,3.008597325914149,4.763081037419413e-27,1.6538104249466248e-14
tet_1.10,1.1,0.0,18,5.066945822846926,Z1,0.41495568418199547,0.00021123997096642605,0.8650808804899917,3.5690949708435085,8.765522667895818e-05,0.00018273966007831613
tet_1.10,1.1,1.0,2,2.513939878753062,X1+Y2,0.12465137863747289,1.0215894943422773e-05,0.43484248672046244,1.215248619794632,1.2734253887132366e-06,4.4423051612729566e-06
tet_1.10,1.1,1.0,3,2.7385873784925905,X1+Z2,0.10233899483137411,1.3551645933788481e-05,0.23766723875237958,1.2750069987449597,1.3868618231745914e-06,3.220782269633421e-06
tet_1.10,1.1,1.0,4,2.738587378492619,X1+Y1+Z2,0.10315602690215943,1.4641359783552474e-05,0.23766723875237997,1.275006998744956,1.5103445037163342e-06,3.47977155133706e-06
tet_1.10,1.1,1.0,5,4.036590001615551,X1+Y1,0.11063170264298626,3.256786755027151e-05,0.21679392507601722,1.7030567974416277,3.6030386385377993e-06,7.060515837579215e-06
tet_1.10,1.1,1.0,6,4.036590001615573,X1+Y2,0.10408767676308958,2.9793099682820975e-05,0.21679392507601636,1.7030567974416289,3.1010945295559765e-06,6.458963020419777e-06
tet_1.10,1.1,1.0,7,4.261237501355162,Z1,0.14822329005046658,2.675652385122263e-05,0.6110604444324128,1.7628151763919477,3.965939995541999e-06,1.6349853355994553e-05
tet_1.10,1.1,1.0,8,5.032601340891736,X1+Y1+Z1,0.12168222382152555,2.2374451098382152e-05,0.4659016128213435,1.499999684977644,2.722572966437115e-06,1.0424292852728525e-05
tet_1.10,1.1,1.0,9,5.559240124478085,Z1,0.08624517398137468,5.8686073929617914e-05,0.8388574753721006,2.19086497508862,5.0613906563437145e-06,4.922925181609974e-05
tet_1.10,1.1,1.0,10,5.755430108530103,X1+Y2+Z1,0.13441306477829196,1.2745944703548076e-05,0.6850305463450574,1.576084946982952,1.7132214910985348e-06,8.73136146395543e-06
tet_1.10,1.1,1.0,11,5.755430108530126,X1+Y1+Z2,0.12619158412782808,3.184721720121227e-05,0.6850305463450581,1.5760849469829519,4.018850788683992e-06,2.1816316598916174e-05
tet_1.10,1.1,1.0,12,6.555251463754258,X1+Z2,0.13124266104979865,5.998282165774168e-05,0.41159670297642503,1.9878078626246056,7.872305131637512e-06,2.4688731629549375e-05
tet_1.10,1.1,1.0,13,6.555251463754273,Y1+Z2,0.1273604101360864,6.061666063682816e-05,0.4115967029764169,1.9878078626246347,7.720162759786398e-06,2.494961766355882e-05
tet_1.10,1.1,1.0,14,7.053432731652997,X1+Y1,0.1292562913911471,6.280762386010748e-05,0.4494891742291808,2.0041347456803806,8.118280531247616e-06,2.8231346984176703e-05
tet_1.10,1.1,1.0,15,7.053432731653022,X1+Y2,0.12984406016216896,4.071219452655628e-05,0.4494891742866253,2.004134745481314,5.286236635440099e-06,1.829969070113825e-05
tet_1.10,1.1,1.0,16,7.278080231392572,X1+Y1+Z2,0.11100739353152364,7.474607985750919e-05,0.33844952129331096,2.063893124626704,8.297367501681215e-06,2.5297774946325577e-05
tet_1.10,1.1,1.0,17,7.278080231392583,X1+Y2+Z2,0.11119241771917615,6.426844888925895e-05,0.33844952138970696,2.0638931245592436,7.146164215058004e-06,2.1751625767028536e-05
tet_1.10,1.1,1.0,18,8.077901586616747,Z1,0.1494334792927514,0.00012853192975909315,0.8987738379721364,2.4756160402716367,1.9206973464112822e-05,0.0001155211358115452
tet_1.10,1.1,5.0,2,4.5519927558353634,X1+Y1+Z2,0.11663463907046197,8.1497122496162e-05,0.38991881603641076,0.19971361171182808,9.505387467621081e-06,3.1777261514077826e-05
tet_1.10,1.1,5.0,3,4.946507953796809,X1+Y2+Z2,0.19391362736381387,9.121374399849363e-05,0.32131866215720867,0.22414270272349385,1.7687587964182206e-05,2.9308678191946095e-05
tet_1.10,1.1,5.0,4,4.946507953796821,X1+Y1+Z1,0.1924011110721105,9.49745486598161e-05,0.3213186621572098,0.2241427027234937,1.827320868572084e-05,3.0517094914356928e-05
tet_1.10,1.1,5.0,5,7.077036269812598,X1+Y1+Z2,0.20031973898592018,0.00017866340124780765,0.26657912317305216,0.3135155600422473,3.578980590429755e-05,4.762793284775576e-05
tet_1.10,1.1,5.0,6,7.077036269812611,X1+Y2+Z1,0.20291753510345573,0.00016615439296387835,0.26657912317305327,0.31351556004224695,3.3715639866841165e-05,4.429329238766162e-05
tet_1.10,1.1,5.0,7,7.471551467774061,X1+Y2+Z2,0.11014477498539957,0.000142705281199052,0.5479892020048074,0.3379446510539125,1.5718241086897754e-05,7.820095316614015e-05
tet_1.10,1.1,5.0,8,8.017902716228058,X1+Y2+Z2,0.11648477275881088,6.998859842917412e-05,0.35420065173230814,0.337877420764365,8.152605983730015e-06,2.479000717744427e-05
tet_1.10,1.1,5.0,9,9.059262637533896,X1+Y1+Z2,0.1532373904716581,0.0001051661673199112,0.6723280224384991,0.39665479767101963,1.611538904600896e-05,7.07061613016322e-05
tet_1.10,1.1,5.0,10,9.059262637533932,X1+Y2+Z1,0.20246369531346714,5.4536200295665986e-05,0.672328022438498,0.3966547976710199,1.1041600640215934e-05,3.666621569609494e-05
